"Location","Treatment","Details","TrapID","Longitude","Latitude","TransplantDate","DispInstallDate","TrapInstallDate","AssessmentNumber","SamplingDate","nYSB","DaysOfCatch","DATI","DADI","DAT","mothsperday","DetailsF","PlaceF","logDaysOfCatch","DATscaled","SamplingDateC","numericDate","nYSB2"
"Kurtis","T3","trt C",301,107.164695417744,-6.18564415449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,1,10,10,10,11,0.1,"trt C","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,1
"Kurtis","T3","trt C",302,107.165389417744,-6.18570215449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,0,10,10,10,11,0,"trt C","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,0
"Kurtis","T3","trt C",303,107.165283417744,-6.18642315449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,1,10,10,10,11,0.1,"trt C","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,1
"Kurtis","T3","trt C",304,107.164598417744,-6.18634715449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,0,10,10,10,11,0,"trt C","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,0
"Kurtis","T6","CGP",601,107.169451417744,-6.17867115449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,24,10,10,10,11,2.4,"CGP","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,27
"Kurtis","T6","CGP",602,107.170386417744,-6.17889715449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,49,10,10,10,11,4.9,"CGP","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,62
"Kurtis","T6","CGP",603,107.170153417744,-6.17981415449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,25,10,10,10,11,2.5,"CGP","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,28
"Kurtis","T6","CGP",604,107.169288417744,-6.17965015449607,2023-08-10,2023-08-11,2023-08-11,1,2023-08-21,21,10,10,10,11,2.1,"CGP","Kurtis",2.30258509299405,-1.60594393302672,"2023-08-21",8,24
"Karawang","T3","trt C",301,107.385397160511,-6.18089581689712,2023-09-04,2023-09-05,2023-09-05,1,2023-09-15,1,10,10,10,11,0.1,"trt C","Karawang",2.30258509299405,-1.60594393302672,"2023-09-15",33,2
"Karawang","T3","trt C",302,107.385603160511,-6.17992281689712,2023-09-03,2023-09-05,2023-09-05,1,2023-09-15,1,10,10,10,12,0.1,"trt C","Karawang",2.30258509299405,-1.56714965008749,"2023-09-15",33,1
"Karawang","T3","trt C",303,107.386614160511,-6.18025381689712,2023-09-03,2023-09-05,2023-09-05,1,2023-09-15,0,10,10,10,12,0,"trt C","Karawang",2.30258509299405,-1.56714965008749,"2023-09-15",33,0
"Karawang","T3","trt C",304,107.386382160511,-6.18117081689712,2023-09-04,2023-09-05,2023-09-05,1,2023-09-15,1,10,10,10,11,0.1,"trt C","Karawang",2.30258509299405,-1.60594393302672,"2023-09-15",33,1
"Karawang","T6","CGP",601,107.388934160511,-6.18197981689712,2023-09-02,2023-09-05,2023-09-05,1,2023-09-15,32,10,10,10,13,3.2,"CGP","Karawang",2.30258509299405,-1.52835536714827,"2023-09-15",33,37
"Karawang","T6","CGP",602,107.389160160511,-6.18110981689712,2023-09-03,2023-09-05,2023-09-05,1,2023-09-15,30,10,10,10,12,3,"CGP","Karawang",2.30258509299405,-1.56714965008749,"2023-09-15",33,33
"Karawang","T6","CGP",603,107.389989160511,-6.18132781689712,2023-09-02,2023-09-05,2023-09-05,1,2023-09-15,14,10,10,10,13,1.4,"CGP","Karawang",2.30258509299405,-1.52835536714827,"2023-09-15",33,17
"Karawang","T6","CGP",604,107.389738160511,-6.18222481689712,2023-09-03,2023-09-05,2023-09-05,1,2023-09-15,23,10,10,10,12,2.3,"CGP","Karawang",2.30258509299405,-1.56714965008749,"2023-09-15",33,24
"Jerberg","T3","trt C",301,111.602790990648,-7.23363413322164,2023-08-06,2023-08-13,2023-08-13,2,2023-09-03,5,11,21,21,28,0.454545454545455,"trt C","Jerberg",2.39789527279837,-0.946441123059866,"2023-09-03",21,5
"Jerberg","T3","trt C",302,111.601875990648,-7.23329013322164,2023-08-06,2023-08-13,2023-08-13,2,2023-09-03,16,11,21,21,28,1.45454545454545,"trt C","Jerberg",2.39789527279837,-0.946441123059866,"2023-09-03",21,16
"Jerberg","T3","trt C",303,111.601596990648,-7.23420813322164,2023-08-06,2023-08-13,2023-08-13,2,2023-09-03,1,11,21,21,28,0.0909090909090909,"trt C","Jerberg",2.39789527279837,-0.946441123059866,"2023-09-03",21,1
"Jerberg","T3","trt C",304,111.602450990648,-7.23449113322164,2023-08-06,2023-08-13,2023-08-13,2,2023-09-03,4,11,21,21,28,0.363636363636364,"trt C","Jerberg",2.39789527279837,-0.946441123059866,"2023-09-03",21,4
"Jerberg","T6","CGP",601,111.602220990648,-7.24248113322164,2023-08-09,NA,2023-08-15,2,2023-09-05,91,11,21,NA,27,8.27272727272727,"CGP","Jerberg",2.39789527279837,-0.985235405999093,"2023-09-05",23,91
"Jerberg","T6","CGP",602,111.601314990648,-7.24241313322164,2023-08-09,NA,2023-08-15,2,2023-09-05,286,11,21,NA,27,26,"CGP","Jerberg",2.39789527279837,-0.985235405999093,"2023-09-05",23,292
"Jerberg","T6","CGP",603,111.601222990648,-7.24325113322164,2023-08-09,NA,2023-08-15,2,2023-09-05,147,11,21,NA,27,13.3636363636364,"CGP","Jerberg",2.39789527279837,-0.985235405999093,"2023-09-05",23,149
"Jerberg","T6","CGP",604,111.602068990648,-7.24331513322164,2023-08-09,NA,2023-08-15,2,2023-09-05,140,11,21,NA,27,12.7272727272727,"CGP","Jerberg",2.39789527279837,-0.985235405999093,"2023-09-05",23,147
"Gettusberg","T3","trt C",301,111.616275792978,-7.13534449599639,2023-09-09,2023-09-10,2023-09-10,2,2023-09-30,24,10,20,20,21,2.4,"trt C","Gettusberg",2.30258509299405,-1.21800110363445,"2023-09-30",48,24
"Gettusberg","T3","trt C",302,111.615276792978,-7.13538849599639,2023-09-09,2023-09-10,2023-09-10,2,2023-09-30,3,10,20,20,21,0.3,"trt C","Gettusberg",2.30258509299405,-1.21800110363445,"2023-09-30",48,3
"Gettusberg","T3","trt C",303,111.615357792978,-7.13642349599639,2023-09-09,2023-09-10,2023-09-10,2,2023-09-30,4,10,20,20,21,0.4,"trt C","Gettusberg",2.30258509299405,-1.21800110363445,"2023-09-30",48,4
"Gettusberg","T3","trt C",304,111.616376792978,-7.13635549599639,2023-09-09,2023-09-10,2023-09-10,2,2023-09-30,19,10,20,20,21,1.9,"trt C","Gettusberg",2.30258509299405,-1.21800110363445,"2023-09-30",48,20
"Gettusberg","T6","CGP",601,111.621265792978,-7.13535349599639,2023-09-04,NA,2023-09-08,2,2023-09-28,361,10,20,NA,24,36.1,"CGP","Gettusberg",2.30258509299405,-1.10161825481677,"2023-09-28",46,366
"Gettusberg","T6","CGP",602,111.620317792978,-7.13534149599639,2023-09-04,NA,2023-09-08,2,2023-09-28,426,10,20,NA,24,42.6,"CGP","Gettusberg",2.30258509299405,-1.10161825481677,"2023-09-28",46,430
"Gettusberg","T6","CGP",603,111.621352792978,-7.13621249599639,2023-09-04,NA,2023-09-08,2,2023-09-28,318,10,20,NA,24,31.8,"CGP","Gettusberg",2.30258509299405,-1.10161825481677,"2023-09-28",46,330
"Gettusberg","T6","CGP",604,111.620353792978,-7.13627949599639,2023-09-04,NA,2023-09-08,2,2023-09-28,225,10,20,NA,24,22.5,"CGP","Gettusberg",2.30258509299405,-1.10161825481677,"2023-09-28",46,227
"Sragen","T3","trt C",301,111.004190435157,-7.42176747192043,2023-08-12,2023-08-16,2023-08-17,2,2023-09-05,4,10,19,20,24,0.4,"trt C","Sragen",2.30258509299405,-1.10161825481677,"2023-09-05",23,4
"Sragen","T3","trt C",302,111.004854435157,-7.42113647192043,2023-08-12,2023-08-16,2023-08-17,2,2023-09-05,1,10,19,20,24,0.1,"trt C","Sragen",2.30258509299405,-1.10161825481677,"2023-09-05",23,1
"Sragen","T3","trt C",303,111.004074435157,-7.42052847192043,2023-08-12,2023-08-16,2023-08-17,2,2023-09-05,2,10,19,20,24,0.2,"trt C","Sragen",2.30258509299405,-1.10161825481677,"2023-09-05",23,2
"Sragen","T3","trt C",304,111.003413435157,-7.42118447192043,2023-08-12,2023-08-16,2023-08-17,2,2023-09-05,12,10,19,20,24,1.2,"trt C","Sragen",2.30258509299405,-1.10161825481677,"2023-09-05",23,13
"Sragen","T6","CGP",601,110.997221435157,-7.42177847192043,2023-08-12,2023-08-15,2023-08-17,2,2023-09-04,284,10,18,20,23,28.4,"CGP","Sragen",2.30258509299405,-1.140412537756,"2023-09-04",22,290
"Sragen","T6","CGP",602,110.998138435157,-7.42163447192043,2023-08-12,2023-08-15,2023-08-17,2,2023-09-04,171,10,18,20,23,17.1,"CGP","Sragen",2.30258509299405,-1.140412537756,"2023-09-04",22,175
"Sragen","T6","CGP",603,110.997988435157,-7.42073147192043,2023-08-12,2023-08-15,2023-08-17,2,2023-09-04,304,10,18,20,23,30.4,"CGP","Sragen",2.30258509299405,-1.140412537756,"2023-09-04",22,317
"Sragen","T6","CGP",604,110.997038435157,-7.42096447192043,2023-08-12,2023-08-15,2023-08-17,2,2023-09-04,193,10,18,20,23,19.3,"CGP","Sragen",2.30258509299405,-1.140412537756,"2023-09-04",22,199
"Karawang","T3","trt C",301,107.385397160511,-6.18089581689712,2023-09-04,2023-09-05,2023-09-05,2,2023-09-25,0,10,20,20,21,0,"trt C","Karawang",2.30258509299405,-1.21800110363445,"2023-09-25",43,0
"Karawang","T3","trt C",302,107.385603160511,-6.17992281689712,2023-09-03,2023-09-05,2023-09-05,2,2023-09-25,0,10,20,20,22,0,"trt C","Karawang",2.30258509299405,-1.17920682069523,"2023-09-25",43,0
"Karawang","T3","trt C",303,107.386614160511,-6.18025381689712,2023-09-03,2023-09-05,2023-09-05,2,2023-09-25,1,10,20,20,22,0.1,"trt C","Karawang",2.30258509299405,-1.17920682069523,"2023-09-25",43,1
"Karawang","T3","trt C",304,107.386382160511,-6.18117081689712,2023-09-04,2023-09-05,2023-09-05,2,2023-09-25,1,10,20,20,21,0.1,"trt C","Karawang",2.30258509299405,-1.21800110363445,"2023-09-25",43,1
"Karawang","T6","CGP",601,107.388934160511,-6.18197981689712,2023-09-02,2023-09-05,2023-09-05,2,2023-09-25,1,10,20,20,23,0.1,"CGP","Karawang",2.30258509299405,-1.140412537756,"2023-09-25",43,1
"Karawang","T6","CGP",602,107.389160160511,-6.18110981689712,2023-09-03,2023-09-05,2023-09-05,2,2023-09-25,21,10,20,20,22,2.1,"CGP","Karawang",2.30258509299405,-1.17920682069523,"2023-09-25",43,21
"Karawang","T6","CGP",603,107.389989160511,-6.18132781689712,2023-09-02,2023-09-05,2023-09-05,2,2023-09-25,22,10,20,20,23,2.2,"CGP","Karawang",2.30258509299405,-1.140412537756,"2023-09-25",43,24
"Karawang","T6","CGP",604,107.389738160511,-6.18222481689712,2023-09-03,2023-09-05,2023-09-05,2,2023-09-25,13,10,20,20,22,1.3,"CGP","Karawang",2.30258509299405,-1.17920682069523,"2023-09-25",43,13
"Kurtis","T3","trt C",301,107.164695417744,-6.18564415449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,1,10,20,20,21,0.1,"trt C","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,1
"Kurtis","T3","trt C",302,107.165389417744,-6.18570215449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,0,10,20,20,21,0,"trt C","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,0
"Kurtis","T3","trt C",303,107.165283417744,-6.18642315449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,0,10,20,20,21,0,"trt C","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,0
"Kurtis","T3","trt C",304,107.164598417744,-6.18634715449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,0,10,20,20,21,0,"trt C","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,0
"Kurtis","T6","CGP",601,107.169451417744,-6.17867115449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,12,10,20,20,21,1.2,"CGP","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,22
"Kurtis","T6","CGP",602,107.170386417744,-6.17889715449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,11,10,20,20,21,1.1,"CGP","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,12
"Kurtis","T6","CGP",603,107.170153417744,-6.17981415449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,7,10,20,20,21,0.7,"CGP","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,9
"Kurtis","T6","CGP",604,107.169288417744,-6.17965015449607,2023-08-10,2023-08-11,2023-08-11,2,2023-08-31,19,10,20,20,21,1.9,"CGP","Kurtis",2.30258509299405,-1.21800110363445,"2023-08-31",18,21
"Jerberg","T3","trt C",301,111.602790990648,-7.23363413322164,2023-08-06,2023-08-13,2023-08-13,3,2023-09-12,3,9,30,30,37,0.333333333333333,"trt C","Jerberg",2.19722457733622,-0.597292576606825,"2023-09-12",30,3
"Jerberg","T3","trt C",302,111.601875990648,-7.23329013322164,2023-08-06,2023-08-13,2023-08-13,3,2023-09-12,3,9,30,30,37,0.333333333333333,"trt C","Jerberg",2.19722457733622,-0.597292576606825,"2023-09-12",30,3
"Jerberg","T3","trt C",303,111.601596990648,-7.23420813322164,2023-08-06,2023-08-13,2023-08-13,3,2023-09-12,7,9,30,30,37,0.777777777777778,"trt C","Jerberg",2.19722457733622,-0.597292576606825,"2023-09-12",30,7
"Jerberg","T3","trt C",304,111.602450990648,-7.23449113322164,2023-08-06,2023-08-13,2023-08-13,3,2023-09-12,1,9,30,30,37,0.111111111111111,"trt C","Jerberg",2.19722457733622,-0.597292576606825,"2023-09-12",30,1
"Jerberg","T6","CGP",601,111.602220990648,-7.24248113322164,2023-08-09,NA,2023-08-15,3,2023-09-14,134,9,30,NA,36,14.8888888888889,"CGP","Jerberg",2.19722457733622,-0.636086859546052,"2023-09-14",32,135
"Jerberg","T6","CGP",602,111.601314990648,-7.24241313322164,2023-08-09,NA,2023-08-15,3,2023-09-14,157,9,30,NA,36,17.4444444444444,"CGP","Jerberg",2.19722457733622,-0.636086859546052,"2023-09-14",32,157
"Jerberg","T6","CGP",603,111.601222990648,-7.24325113322164,2023-08-09,NA,2023-08-15,3,2023-09-14,88,9,30,NA,36,9.77777777777778,"CGP","Jerberg",2.19722457733622,-0.636086859546052,"2023-09-14",32,92
"Jerberg","T6","CGP",604,111.602068990648,-7.24331513322164,2023-08-09,NA,2023-08-15,3,2023-09-14,96,9,30,NA,36,10.6666666666667,"CGP","Jerberg",2.19722457733622,-0.636086859546052,"2023-09-14",32,105
"Gettusberg","T3","trt C",301,111.616275792978,-7.13534449599639,2023-09-09,2023-09-10,2023-09-10,3,2023-10-10,2,10,30,30,31,0.2,"trt C","Gettusberg",2.30258509299405,-0.830058274242186,"2023-10-10",58,2
"Gettusberg","T3","trt C",302,111.615276792978,-7.13538849599639,2023-09-09,2023-09-10,2023-09-10,3,2023-10-10,8,10,30,30,31,0.8,"trt C","Gettusberg",2.30258509299405,-0.830058274242186,"2023-10-10",58,8
"Gettusberg","T3","trt C",303,111.615357792978,-7.13642349599639,2023-09-09,2023-09-10,2023-09-10,3,2023-10-10,4,10,30,30,31,0.4,"trt C","Gettusberg",2.30258509299405,-0.830058274242186,"2023-10-10",58,4
"Gettusberg","T3","trt C",304,111.616376792978,-7.13635549599639,2023-09-09,2023-09-10,2023-09-10,3,2023-10-10,4,10,30,30,31,0.4,"trt C","Gettusberg",2.30258509299405,-0.830058274242186,"2023-10-10",58,4
"Gettusberg","T6","CGP",601,111.621265792978,-7.13535349599639,2023-09-04,NA,2023-09-08,3,2023-10-08,98,10,30,NA,34,9.8,"CGP","Gettusberg",2.30258509299405,-0.713675425424506,"2023-10-08",56,98
"Gettusberg","T6","CGP",602,111.620317792978,-7.13534149599639,2023-09-04,NA,2023-09-08,3,2023-10-08,93,10,30,NA,34,9.3,"CGP","Gettusberg",2.30258509299405,-0.713675425424506,"2023-10-08",56,93
"Gettusberg","T6","CGP",603,111.621352792978,-7.13621249599639,2023-09-04,NA,2023-09-08,3,2023-10-08,65,10,30,NA,34,6.5,"CGP","Gettusberg",2.30258509299405,-0.713675425424506,"2023-10-08",56,89
"Gettusberg","T6","CGP",604,111.620353792978,-7.13627949599639,2023-09-04,NA,2023-09-08,3,2023-10-08,74,10,30,NA,34,7.4,"CGP","Gettusberg",2.30258509299405,-0.713675425424506,"2023-10-08",56,87
"Sragen","T3","trt C",301,111.004190435157,-7.42176747192043,2023-08-12,2023-08-16,2023-08-17,3,2023-09-15,13,10,29,30,34,1.3,"trt C","Sragen",2.30258509299405,-0.713675425424506,"2023-09-15",33,13
"Sragen","T3","trt C",302,111.004854435157,-7.42113647192043,2023-08-12,2023-08-16,2023-08-17,3,2023-09-15,9,10,29,30,34,0.9,"trt C","Sragen",2.30258509299405,-0.713675425424506,"2023-09-15",33,11
"Sragen","T3","trt C",303,111.004074435157,-7.42052847192043,2023-08-12,2023-08-16,2023-08-17,3,2023-09-15,4,10,29,30,34,0.4,"trt C","Sragen",2.30258509299405,-0.713675425424506,"2023-09-15",33,5
"Sragen","T3","trt C",304,111.003413435157,-7.42118447192043,2023-08-12,2023-08-16,2023-08-17,3,2023-09-15,46,10,29,30,34,4.6,"trt C","Sragen",2.30258509299405,-0.713675425424506,"2023-09-15",33,46
"Sragen","T6","CGP",601,110.997221435157,-7.42177847192043,2023-08-12,2023-08-15,2023-08-17,3,2023-09-14,84,10,28,30,33,8.4,"CGP","Sragen",2.30258509299405,-0.752469708363732,"2023-09-14",32,90
"Sragen","T6","CGP",602,110.998138435157,-7.42163447192043,2023-08-12,2023-08-15,2023-08-17,3,2023-09-14,97,10,28,30,33,9.7,"CGP","Sragen",2.30258509299405,-0.752469708363732,"2023-09-14",32,101
"Sragen","T6","CGP",603,110.997988435157,-7.42073147192043,2023-08-12,2023-08-15,2023-08-17,3,2023-09-14,97,10,28,30,33,9.7,"CGP","Sragen",2.30258509299405,-0.752469708363732,"2023-09-14",32,99
"Sragen","T6","CGP",604,110.997038435157,-7.42096447192043,2023-08-12,2023-08-15,2023-08-17,3,2023-09-14,156,10,28,30,33,15.6,"CGP","Sragen",2.30258509299405,-0.752469708363732,"2023-09-14",32,163
"Karawang","T3","trt C",301,107.385397160511,-6.18089581689712,2023-09-04,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,31,0,"trt C","Karawang",2.30258509299405,-0.830058274242186,"2023-10-05",53,0
"Karawang","T3","trt C",302,107.385603160511,-6.17992281689712,2023-09-03,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,32,0,"trt C","Karawang",2.30258509299405,-0.791263991302959,"2023-10-05",53,0
"Karawang","T3","trt C",303,107.386614160511,-6.18025381689712,2023-09-03,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,32,0,"trt C","Karawang",2.30258509299405,-0.791263991302959,"2023-10-05",53,0
"Karawang","T3","trt C",304,107.386382160511,-6.18117081689712,2023-09-04,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,31,0,"trt C","Karawang",2.30258509299405,-0.830058274242186,"2023-10-05",53,0
"Karawang","T6","CGP",601,107.388934160511,-6.18197981689712,2023-09-02,2023-09-05,2023-09-05,3,2023-10-05,27,10,30,30,33,2.7,"CGP","Karawang",2.30258509299405,-0.752469708363732,"2023-10-05",53,31
"Karawang","T6","CGP",602,107.389160160511,-6.18110981689712,2023-09-03,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,32,0,"CGP","Karawang",2.30258509299405,-0.791263991302959,"2023-10-05",53,1
"Karawang","T6","CGP",603,107.389989160511,-6.18132781689712,2023-09-02,2023-09-05,2023-09-05,3,2023-10-05,0,10,30,30,33,0,"CGP","Karawang",2.30258509299405,-0.752469708363732,"2023-10-05",53,4
"Karawang","T6","CGP",604,107.389738160511,-6.18222481689712,2023-09-03,2023-09-05,2023-09-05,3,2023-10-05,32,10,30,30,32,3.2,"CGP","Karawang",2.30258509299405,-0.791263991302959,"2023-10-05",53,33
"Kurtis","T3","trt C",301,107.164695417744,-6.18564415449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,0,10,30,30,31,0,"trt C","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,1
"Kurtis","T3","trt C",302,107.165389417744,-6.18570215449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,0,10,30,30,31,0,"trt C","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,0
"Kurtis","T3","trt C",303,107.165283417744,-6.18642315449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,0,10,30,30,31,0,"trt C","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,0
"Kurtis","T3","trt C",304,107.164598417744,-6.18634715449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,0,10,30,30,31,0,"trt C","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,0
"Kurtis","T6","CGP",601,107.169451417744,-6.17867115449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,148,10,30,30,31,14.8,"CGP","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,149
"Kurtis","T6","CGP",602,107.170386417744,-6.17889715449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,82,10,30,30,31,8.2,"CGP","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,83
"Kurtis","T6","CGP",603,107.170153417744,-6.17981415449607,2023-08-10,2023-08-11,2023-08-11,3,2023-09-10,116,10,30,30,31,11.6,"CGP","Kurtis",2.30258509299405,-0.830058274242186,"2023-09-10",28,119
